,date,keywords,lat,lng
70,2019-06-22 01:44:32,scenes first segment boylesque tonight drink coffee whiskey social,43.66417,-79.38006
71,2019-06-12 18:35:00,performer spotlight alexander great king international award winning aerialist acrobat boylesque dancer co producer boiz austin instructor austin academy,30.22717,-97.7628
72,2015-04-11 19:51:14,dd thunderballs james bond boylesque opens one week get tickets,41.91636995,-87.68680668
73,2014-12-19 11:37:34,mansfield brothers rehearsing boylesque olympics,43.69895407,-79.38177901
74,2016-08-27 00:45:11,burlesque boylesque,44.6528657,-63.58474166
75,2018-07-13 19:20:51,smiling sunshine peeps come anniversary party tonight huge shout fabulous atlanta boylesque amp burlesque,33.77189542,-84.35275921
76,2017-09-20 21:09:28,catch weekend friday burlesque vs boylesque,45.5160217,-73.5777206
77,2017-10-04 01:31:39,danielnardicioproductions get repost coming november ny boylesque,40.74294,-74.00569
78,2018-06-07 21:05:20,boylesque peterserockivisuals,41.94991867,-87.64904575
79,2018-11-30 22:03:28,gr time working troyboy entertainment drinkatthedrink boylesque review last night debuted two new acts seen must,43.66417,-79.38006
80,2016-10-08 02:14:41,werewolf realness first act danger zone boylesque come,30.2955093,-97.7417374
81,2018-10-27 05:25:37,meow weekend got breakfast sausage boylesque starring noon brunch show featuring male performers come see ladies,33.9167,-118.40595
82,2018-08-17 21:41:00,tonight night wait perform chanel hunter boylesque london lockhart necto nightclub,42.27920663,-83.74252799
83,2019-05-15 00:44:32,lil debuted last week pansycrazepeepshow giving sum cheerleader boylesque realness dawin,34.0450526,-118.2493872
84,2018-04-14 12:28:20,last night necto hope see everyone tonight boylesque tap room doors,42.2407684,-83.6147385
85,2014-11-26 11:03:06,venue boylesque ing wambam showing open saturday pedestal x,51.40591341,-0.14042697
86,2017-09-23 11:03:43,devine ladies night coming k ln devine teasers boylesque show called devine,50.936345,6.936908
87,2016-02-14 00:44:19,boylesque ing stonewall inn new york ny,40.73369431,-74.00212124
88,2018-08-24 22:12:46,ana eljovendolores louisfr presentan su boylesque las al cierre de aporte mil en casa kilele casa cultural,4.61784,-74.07402
89,2015-04-30 22:39:45,new event thunderballs james bond boylesque gorilla tango theatre chicago il,41.916468,-87.686668
90,2015-05-11 18:54:27,showgirls cover misssinaking minnie tonka boylesque festival vienna,48.19784464,16.3489965
91,2017-03-26 01:52:18,backstage boylesque,43.5454102,-80.2504883
92,2017-10-17 17:28:04,episode boylesque created truly meet lovely rify royalty,34.0450847,-118.252874
93,2017-01-14 03:36:31,glam godz boylesque minneapolis mn,44.98027063,-93.27176992
94,2016-11-01 22:27:26,tonight bourbon boylesque premiere male revue,29.95950888,-90.06485038
95,2018-05-24 00:45:20,champagne shuga nova dd honeybee back sexy sultry burlesque revue clocktower cabaret come enjoy new acts designed make blush closing night special guest star king boylesque evil hate monkey,39.748099,-104.995687
96,2014-12-01 08:36:55,man kinda wish beard manly figure could boylesque,45.4586277,-122.5209448
97,2017-02-06 02:31:57,excited new additions dangerzone boylesque looking forward boy oi yoing,30.2955093,-97.7417374
98,2016-06-07 00:01:25,waitin audition danger zone boylesque come,30.2955093,-97.7417374
99,2016-05-20 04:12:49,amazing snippet brotherhood boylesque killing,39.74814,-104.99567
100,2015-08-14 13:59:31,firefly themed boylesque,49.82654058,-97.19214061
101,2018-06-22 00:50:42,saturday first ever male breakfast sausage boylesque come hilarious sexy one kind daytime brunch show like get tickets amp table,34.0221,-118.481
102,2016-05-18 21:31:10,vienna boylesque festival,48.19777,16.34912
103,2017-10-30 16:13:50,next two weeks full fou york saturday annual new york boylesque,40.70686,-73.92353
104,2017-05-22 17:11:41,trump dump tonight slipper room boylesque protest slipper room nyc,40.72144508,-73.98862683
105,2015-10-27 15:41:17,new event biore bang broadway beauties boylesque ave arts seattle wa,47.615469,-122.31685
106,2018-09-18 19:05:24,works hard money beers steers queers boylesque act showcase homage texas past,30.267526,-97.736532
107,2016-12-19 19:25:08,aunz brawn beauty boylesque briefs australia queen avant garde drag dallas,-33.36264966,151.3394165
108,2015-11-10 01:42:50,new event boylesque ben mann annoyance theatre amp bar chicago il,41.939691,-87.651316
109,2017-10-22 17:41:16,great boylesque meezee,42.34171,-83.06014
110,2016-04-28 21:05:48,join thetripledoor tomorrow night second annual seattle boylesque festival,47.60864,-122.33769
111,2017-06-27 19:03:56,amazing boylesque star waxie moon taking century spin,47.6064,-122.331
112,2019-01-09 19:30:39,looking join cast chicago come charlies audition boylesque charlie chicago,41.94992,-87.64919
113,2016-01-15 10:08:17,toonarama fnp farewell boylesque going big one st kilda vic,-37.86831092,144.98679757
114,2018-12-11 17:23:12,burlesque boylesque variety award winning clocktower clockettes accompanied denver popular pianist sidekick larry wegner baby grand throughout every show hosted clocktower cabaret famous mustachioed emcee naughty pierre,39.748099,-104.995687
115,2017-11-27 02:46:54,throwback amp boylesque youngsters crossing paths hollywood,34.0488848,-118.2450913
116,2016-03-12 06:27:27,yaaaassss got kings happening boylesque kings tavern,39.71536968,-104.9872359
117,2015-11-01 16:24:26,le cabaret burlesque eu le droit un show halloween bourr humour avec un boylesque en parfaite,48.851482,2.349982
118,2018-09-02 18:09:18,belt tight hit high notes feel coming theweeknd feat daftpunk one favourite boylesque acts perform one soo much fun last sunday,43.65276,-79.4016
119,2019-04-13 15:01:57,saturday finally miss crimson kitty slay house host homo erectus boylesque join us tonight april doors drink,40.73379,-74.00215
120,2015-07-04 01:30:23,supporting fellow sky candies performing boylesque mmmhmm austin tx,30.25605535,-97.76312828
121,2015-05-13 04:07:06,one week contortionist amp boylesque performer mr diva joins us dr sketchy tickets,49.26541001,-123.10080596
122,2018-11-08 01:55:35,gentlemansclubto next wednesday boylesque bump amp grind new orleans burlesque festivals belle ball hosting performing also,43.6477999,-79.40447
123,2015-08-26 15:29:48,happy hump day one chance see one boylesque parody show see dd,41.9165382,-87.6865234
124,2016-12-11 01:57:32,amazing ben franklin homoerectusboylesquenyc,40.7336616,-74.00222215
125,2018-11-22 07:10:20,nice package holiday boylesque show bar,47.6166695,-122.3310782
126,2014-12-14 18:14:56,yippee headlining boylesque festival vienna spring yeah,47.68306563,-122.35649388
127,2017-11-06 18:54:14,flash great show last night boylesque bend mann,41.97968,-87.66791
128,2017-07-08 14:19:26,cannot space loved first ever boylesque experience,-12.45696626,130.8362821
129,2018-11-14 19:17:41,hey new york peeps catch performing starting thursday sinner kit kat cabaret two shows friday night annual nyc boylesque festival,40.7142,-74.0064
130,2019-06-07 01:29:20,vixen cabaret rewind performer spotlight white white st louis born raised boylesque entertainer likes think godfather hip hop burlesque manage live,38.60562025,-90.22319064
131,2015-08-09 13:01:31,burlesque boylesque arabesque esque maybe ex next wknd park theatre pls rt,49.82633169,-97.19216452
132,2015-04-30 22:44:23,new event thunderballs james bond boylesque gorilla tango theatre chicago il,41.916468,-87.686668
133,2018-09-08 20:10:35,homoerectusboylesquenyc get repost wtf almost time another homo erectus boylesque time go let peppercorn chantilly explain saturday,40.7142,-74.0064
134,2016-09-17 21:10:04,getting rehearsal bourbon boylesque get ready new orleans happening every tuesday,29.95950898,-90.06485024
135,2018-07-13 13:55:09,friday perform magickal untouched pocket qu bec eastern townships bringing boylesque extravaganza long weekend music theatre,45.12901,-71.9985
136,2018-09-25 02:28:06,thrilling audiences weekly performances since award winning clocktower clockettes dazzle vintage modern classic comic burlesque boylesque circus variety thursday p,39.748099,-104.995687
137,2015-01-05 03:30:36,first rehearsal tonight dd thunderballs james bond boylesque certainly ballin,41.91636424,-87.68679087
138,2015-06-21 17:55:05,please let boylesque become big thing ok thanks bye trafalgar square,51.50805556,-0.12805556
139,2017-02-12 00:34:23,next thursday filling guest mc therailsd diamond dogs boylesque,32.74679,-117.16076
140,2016-03-04 15:34:06,help journey vienna boylesque festival euro tour,48.2083,16.3731
141,2018-08-22 15:52:19,tonight gentlemansclubto first boylesque humpday bump amp grind guest ichabodfame cherry cola,43.6477999,-79.40447
142,2018-09-29 04:12:34,divas town clocktower cabaret supporting bella bro boylesque bones entire cast rocky horror picture show clocktower phenomenal job,39.74814,-104.99567
143,2019-03-09 20:03:19,get repost homo erectus boylesque saturday march door drink min hosted starring jamesgiantpasty stanqi sex,40.73379,-74.00215
144,2015-06-11 03:38:42,boylesque black rose,40.72644,-73.983612
145,2018-11-14 17:05:52,howdy dropping remind heyclaytaylor performing friday new york boylesque festival miss awesome show photo,40.72535415,-73.98340613
146,2015-11-10 01:37:37,new event boylesque ben mann annoyance theatre amp bar chicago il,41.939691,-87.651316
147,2015-04-30 22:38:27,new event thunderballs james bond boylesque gorilla tango theatre chicago il,41.916468,-87.686668
148,2016-04-30 06:11:52,ben delacreme seattle boylesque festival ahhhh,47.60864,-122.33769
